GEOID,NAME,year,estimate
18097342000,NA,2026,69659.00849831493
18097342000,NA,2027,69659.0061958672
18097342000,NA,2028,69659.00628225242
18097342101,NA,2024,63283.03995998267
18097342101,NA,2025,63302.65577022816
18097342101,NA,2026,63300.87103841666
18097342101,NA,2027,63301.033396134386
18097342101,NA,2028,63301.01862618589
18097342200,NA,2024,65623.52988379047
18097342200,NA,2025,65726.52542576625
18097342200,NA,2026,78560.07909111925
18097342200,NA,2027,81134.30678318065
18097342200,NA,2028,94548.69798254373
18097342300,NA,2024,56339.01854676258
18097342300,NA,2025,59288.622333373365
18097342300,NA,2026,62015.44858490537
18097342300,NA,2027,64521.99948502796
18097342300,NA,2028,66814.52773395581
18097342400,NA,2024,55401.45591524781
18097342400,NA,2025,54748.637649321696
18097342400,NA,2026,54486.14411033393
18097342400,NA,2027,54380.07290597642
18097342400,NA,2028,54337.124334105036
18097342500,NA,2024,49541.105602963034
18097342500,NA,2025,51909.23785561859
18097342500,NA,2026,53663.22489610145
18097342500,NA,2027,54947.48341995083
18097342500,NA,2028,55880.140917165285
18097342600,NA,2024,48926.918678712354
18097342600,NA,2025,50647.408112820354
18097342600,NA,2026,51421.93950754052
18097342600,NA,2027,51765.800318744165
18097342600,NA,2028,51917.529454761025
18097350100,NA,2024,57384.47102871717
18097350100,NA,2025,60660.525640991036
18097350100,NA,2026,63268.77736047413
18097350100,NA,2027,65321.044509082465
18097350100,NA,2028,66921.48177418868
18097350300,NA,2024,34707.680912889096
18097350300,NA,2025,39109.29019342704
18097350300,NA,2026,42551.18481836062
18097350300,NA,2027,47267.31261247693
18097350300,NA,2028,51864.28381213871
18097350400,NA,2024,57196.175915335894
18097350400,NA,2025,57835.28759245764
18097350400,NA,2026,58236.63845641961
18097350400,NA,2027,58487.82369813385
18097350400,NA,2028,58644.695287720024
18097350500,NA,2024,41116.44644048314
18097350500,NA,2025,41116.44509864616
18097350500,NA,2026,41116.44509539351
18097350500,NA,2027,41116.44509538562
18097350500,NA,2028,41116.44509538562
18097350600,NA,2024,30395.323431987566
18097350600,NA,2025,29301.727647483032
18097350600,NA,2026,29808.94233684739
18097350600,NA,2027,29570.29699928473
18097350600,NA,2028,29681.83122733183
18097350700,NA,2024,22083.125997062143
18097350700,NA,2025,21661.433193882604
18097350700,NA,2026,22001.18331743397
18097350700,NA,2027,21726.531337644585
18097350700,NA,2028,21947.95743575065
18097350800,NA,2024,21562.496854139918
18097350800,NA,2025,21561.77887462784
18097350800,NA,2026,21561.761390154898
18097350800,NA,2027,21561.760964360194
18097350800,NA,2028,21561.76095399094
18097350900,NA,2024,109992.81979995313
18097350900,NA,2025,133017.7769229113
18097350900,NA,2026,156082.0121220969
18097350900,NA,2027,178555.61644965567
18097350900,NA,2028,199949.92093555673
18097351000,NA,2024,30314.108935902605
18097351000,NA,2025,31479.316362958165
18097351000,NA,2026,30687.472867012977
18097351000,NA,2027,31220.10758057916
18097351000,NA,2028,30859.33690111357
18097351200,NA,2024,36669.768054438355
18097351200,NA,2025,36799.86116564081
18097351200,NA,2026,36825.92822926433
18097351200,NA,2027,36831.142479488495
18097351200,NA,2028,36832.185142625494
18097351500,NA,2024,55719.97175323752
18097351500,NA,2025,60106.810452297
18097351500,NA,2026,63903.012256227674
18097351500,NA,2027,68452.24433924649
18097351500,NA,2028,73040.23643885419
18097351600,NA,2024,122221.08288416556
18097351600,NA,2025,138146.4226881053
18097351600,NA,2026,155461.33097514245
18097351600,NA,2027,175175.25161713082
18097351600,NA,2028,197312.45212609763
18097351700,NA,2024,117588.1098909554
18097351700,NA,2025,124218.8197987775
18097351700,NA,2026,156473.64454376197
18097351700,NA,2027,172493.1240747052
18097351700,NA,2028,210377.91542014302
18097351900,NA,2024,42011.2612878103
18097351900,NA,2025,42012.590682016475
18097351900,NA,2026,42013.13256358528
18097351900,NA,2027,42013.35343995084
